id	filename	md5	size	state
003ad4b1-dc1b-49bc-8ce2-d6dbd1250fee	003ad4b1-dc1b-49bc-8ce2-d6dbd1250fee/7a61270d-2a79-4a57-bdb5-217d5db07b79.rna_seq.augmented_star_gene_counts.tsv	3b544a4094c23cd318020a650ee4bc48	4190010	validated
00fb4b52-e6a4-4ad9-bbed-584e25851aca	00fb4b52-e6a4-4ad9-bbed-584e25851aca/ba056a7d-5370-4fe9-af1e-2e3de42e205f.rna_seq.augmented_star_gene_counts.tsv	301e03b3c03f89fab4d1a5610096020b	4218860	validated
01e802a3-1ae8-4601-9540-d99dba62728e	01e802a3-1ae8-4601-9540-d99dba62728e/b479840d-e285-405d-ab96-c8d8aa46992d.rna_seq.augmented_star_gene_counts.tsv	d93276c07700655343eb891b52194a50	4215091	validated
023b8a0a-1b32-4feb-8b9d-0844dc0e7c6c	023b8a0a-1b32-4feb-8b9d-0844dc0e7c6c/a7d51d09-db64-418f-a44f-574d3fbe3501.rna_seq.augmented_star_gene_counts.tsv	6e724d4527649c1138eb224277425a52	4206881	validated
048103cc-f5d1-4ad4-8b82-ea76715bfa53	048103cc-f5d1-4ad4-8b82-ea76715bfa53/dffd181a-c6f1-49e0-b23d-d91065a0171a.rna_seq.augmented_star_gene_counts.tsv	a65c66dde68ff4e08595cb525c831d74	4226582	validated
071a3c5b-9378-4cc0-ae6a-b772630822d0	071a3c5b-9378-4cc0-ae6a-b772630822d0/f45c520f-016e-4c29-8d84-2e985763ed0a.rna_seq.augmented_star_gene_counts.tsv	46d33e1e8202a48a2da707a1cb296188	4205878	validated
08b01615-a73a-4dcb-98ec-c110b34867c3	08b01615-a73a-4dcb-98ec-c110b34867c3/b9dea4f2-2847-496f-a08e-5253c9ea6743.rna_seq.augmented_star_gene_counts.tsv	f84ac60f61725c51ac85477d2546abc7	4230494	validated
0cb37227-b328-4083-8c3c-fb8a850fc5bf	0cb37227-b328-4083-8c3c-fb8a850fc5bf/fda7f242-9bc2-477e-8603-8495d2e9f225.rna_seq.augmented_star_gene_counts.tsv	2979b970f48c731a5c70dcb3e7626e0b	4218853	validated
0d7d8f96-9010-4f69-b86a-83e8e70cdedc	0d7d8f96-9010-4f69-b86a-83e8e70cdedc/88e1d720-f964-40b6-acff-d95bda7b538d.rna_seq.augmented_star_gene_counts.tsv	2d4427c2db43647e1bba27cd295baa23	4214574	validated
0f2270a9-bd32-4834-82f1-24197db62398	0f2270a9-bd32-4834-82f1-24197db62398/cd360b3a-1369-4a13-a13b-5adf4a5e66bf.rna_seq.augmented_star_gene_counts.tsv	4ab6173ecf7f621b3df079a52a942bb2	4234524	validated
1086061d-5910-4b35-be67-c69836917d43	1086061d-5910-4b35-be67-c69836917d43/906f244d-0d66-48c1-a646-2ad71d777696.rna_seq.augmented_star_gene_counts.tsv	b8bbaf53b8af8cb90ac6be1faf98549d	4226734	validated
15be9837-f3e7-45eb-8822-e98341e80362	15be9837-f3e7-45eb-8822-e98341e80362/bda1aaaa-f62f-4156-ab54-5f850720f2a3.rna_seq.augmented_star_gene_counts.tsv	9c9f82517e51694aa3e6dd8e116c908d	4225631	validated
15fcbb62-7e0c-4b85-b233-643a178c1b5c	15fcbb62-7e0c-4b85-b233-643a178c1b5c/e743401a-0738-4fd6-92d9-019537582d76.rna_seq.augmented_star_gene_counts.tsv	a0a178a11e3f2e43e5a2f7cf8536d6cc	4208111	validated
18ec5ded-6efc-4514-bbbe-c6df897b3e08	18ec5ded-6efc-4514-bbbe-c6df897b3e08/65518e95-98ee-4567-a9cb-e2ef4e9ad5ff.rna_seq.augmented_star_gene_counts.tsv	eebbedba1b16fed1902d9d4a7f2caaad	4187548	validated
19533c53-3be7-4ede-bf65-d805e82aaf2b	19533c53-3be7-4ede-bf65-d805e82aaf2b/a877ebcc-8616-4dfd-b00b-bdd6f45d6371.rna_seq.augmented_star_gene_counts.tsv	4a6d705cae779f36d7ae11f682f41a33	4228799	validated
19697a4b-519a-4b54-8bbe-74e9a2d28df2	19697a4b-519a-4b54-8bbe-74e9a2d28df2/819f5d2c-3340-48d7-913c-b3c96f4c331e.rna_seq.augmented_star_gene_counts.tsv	21e05a956776a8a1cc18dc6d2a4dbce4	4196817	validated
